stimuli,star,CorrectAns,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,routine_21.started,text_9.started,key_resp_8.started,routine_21.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,introduction.started,text_6.started,key_resp_5.started,introduction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,routine_14.started,image_6.started,routine_14.stopped,routine_16.started,text_4.started,text_4.stopped,routine_16.stopped,routine_17.started,image_7.started,key_resp_3.started,image_7.stopped,routine_17.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,routine_20.started,text_8.started,key_resp_7.started,routine_20.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_18.started,text_5.started,key_resp_4.started,routine_18.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,image_3.started,trial.stopped,routine.started,text_3.started,text_3.stopped,routine.stopped,routine_1.started,image_2.started,key_resp.started,image_2.stopped,routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_22.started,text_10.started,key_resp_9.started,routine_22.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,routine_19.started,text_7.started,key_resp_6.started,routine_19.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,routine_23.started,image_8.started,routine_23.stopped,routine_24.started,text_11.started,text_11.stopped,routine_24.stopped,routine_25.started,image_9.started,key_resp_10.started,image_9.stopped,routine_25.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,routine_26.started,text_12.started,key_resp_11.started,text_12.stopped,routine_26.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_27.started,text_13.started,key_resp_12.started,text_13.stopped,routine_27.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,routine_10.started,image_4.started,routine_10.stopped,routine_11.started,text.started,text.stopped,routine_11.stopped,routine_12.started,image_5.started,key_resp_2.started,image_5.stopped,routine_12.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.0031709999998383864,0.007138999999824591,0.007138999999824591,0.9300843999999415,space,0.9053634000001693,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2023-11-12_14h41.35.298,untitled,2023.2.2,60.14903728451227,2023-11-12 14h41.45.689198 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9301430000000437,0.9446452000001955,0.9446452000001955,23.730061400000068,space,22.778335900000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2023-11-12_14h41.35.298,untitled,2023.2.2,60.14903728451227,2023-11-12 14h41.45.689198 +0800,
8,test/rightstar.PNG,space,0,0,0,1,,,,,,,,,,,,,23.892822799999976,,,,,,,,,,,,,,,,23.74030959999982,23.892822799999976,24.245235100000173,24.245258399999784,24.744354999999814,25.28445869999996,25.028577600000062,25.028602899999896,26.352463100000023,26.352463100000023,27.16121770000018,27.829440800000157,right,1.4747407999998359,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2023-11-12_14h41.35.298,untitled,2023.2.2,60.14903728451227,2023-11-12 14h41.45.689198 +0800,
8,test/rightstar.PNG,space,0,1,1,5,,,,,,,,,,,,,27.89030969999976,,,,,,,,,,,,,,,,27.830738799999835,27.89030969999976,28.345129299999826,28.345150499999818,28.844249199999922,29.264503400000194,29.128505399999995,29.12852900000007,30.44657929999994,30.44657929999994,31.261269000000084,33.21311340000011,right,2.764045100000203,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2023-11-12_14h41.35.298,untitled,2023.2.2,60.14903728451227,2023-11-12 14h41.45.689198 +0800,
1,test/leftstar.PNG,left,0,2,2,0,,,,,,,,,,,,,33.270172099999854,,,,,,,,,,,,,,,,33.2140574,33.270172099999854,33.7286223000001,33.728645400000005,34.22756279999976,34.655581800000164,34.511861599999975,34.511885699999766,35.8297991999998,35.8297991999998,,36.2467529999999,left,0.4049448000000666,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2023-11-12_14h41.35.298,untitled,2023.2.2,60.14903728451227,2023-11-12 14h41.45.689198 +0800,
2,test/leftstar.PNG,left,0,3,3,4,,,,,,,,,,,,,36.30754710000019,,,,,,,,,,,,,,,,36.247692500000085,36.30754710000019,36.761930199999824,36.76196579999987,37.26094699999976,37.699705800000174,37.54534019999983,37.54535889999988,38.86342079999986,38.86342079999986,,39.563655500000095,left,0.6928068000001986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2023-11-12_14h41.35.298,untitled,2023.2.2,60.14903728451227,2023-11-12 14h41.45.689198 +0800,
1,test/blank.PNG,space,0,4,4,2,,,,,,,,,,,,,39.62725769999997,,,,,,,,,,,,,,,,39.56455580000011,39.62725769999997,40.079381099999864,40.079405999999835,40.5775435999999,41.00541109999995,40.86230429999978,40.8623290999999,42.179088500000034,42.179088500000034,42.97788589999982,43.74594819999993,space,1.5623851000000286,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2023-11-12_14h41.35.298,untitled,2023.2.2,60.14903728451227,2023-11-12 14h41.45.689198 +0800,
9,test/rightstar.PNG,space,0,5,5,3,,,,,,,,,,,,,43.805277399999795,,,,,,,,,,,,,,,,43.74687919999997,43.805277399999795,44.26229329999978,44.262315599999965,44.76125090000005,45.31761899999992,45.04573560000017,45.045768399999815,46.36323859999993,46.36323859999993,,47.14683490000016,space,0.7785181999997803,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2023-11-12_14h41.35.298,untitled,2023.2.2,60.14903728451227,2023-11-12 14h41.45.689198 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.14743210000006,47.16089069999998,47.16089069999998,49.612622199999805,space,2.4348604000001615,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2023-11-12_14h41.35.298,untitled,2023.2.2,60.14903728451227,2023-11-12 14h41.45.689198 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.612679599999865,49.627731499999754,49.627731499999754,51.49582539999983,space,1.8618334999996478,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2023-11-12_14h41.35.298,untitled,2023.2.2,60.14903728451227,2023-11-12 14h41.45.689198 +0800,
