stimuli,star,CorrectAns,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,routine_21.started,text_9.started,key_resp_8.started,routine_21.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,introduction.started,text_6.started,key_resp_5.started,introduction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,routine_14.started,image_6.started,routine_14.stopped,routine_16.started,text_4.started,text_4.stopped,routine_16.stopped,routine_17.started,image_7.started,key_resp_3.started,image_7.stopped,routine_17.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,routine_20.started,text_8.started,key_resp_7.started,routine_20.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_18.started,text_5.started,key_resp_4.started,routine_18.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,image_3.started,trial.stopped,routine.started,text_3.started,text_3.stopped,routine.stopped,routine_1.started,image_2.started,key_resp.started,routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,image_2.stopped,routine_22.started,text_10.started,key_resp_9.started,routine_22.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,routine_19.started,text_7.started,key_resp_6.started,routine_19.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,routine_23.started,image_8.started,routine_23.stopped,routine_24.started,text_11.started,text_11.stopped,routine_24.stopped,routine_25.started,image_9.started,key_resp_10.started,routine_25.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,image_9.stopped,routine_26.started,text_12.started,key_resp_11.started,text_12.stopped,routine_26.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_27.started,text_13.started,key_resp_12.started,text_13.stopped,routine_27.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,routine_10.started,image_4.started,routine_10.stopped,routine_11.started,text.started,text.stopped,routine_11.stopped,routine_12.started,image_5.started,key_resp_2.started,routine_12.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,image_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.0029117000003680005,0.00624100000004546,0.00624100000004546,9.418878599999516,space,9.407691899999918,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2023-11-12_14h50.14.853,untitled,2023.2.2,59.83087009637876,2023-11-12 14h50.28.915435 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.418926600000304,9.434128099999725,9.434128099999725,51.25242160000016,space,41.80428589999974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2023-11-12_14h50.14.853,untitled,2023.2.2,59.83087009637876,2023-11-12 14h50.28.915435 +0800,
1,test/blank.PNG,space,0,0,0,2,,,,,,,,,,,,,51.42313579999973,,,,,,,,,,,,,,,,51.26234959999965,51.42313579999973,51.76832430000013,51.768355000000156,52.26730769999995,52.63596619999953,52.55226430000039,52.55228929999976,53.86940270000014,53.86940270000014,54.667719000000034,56.98643869999978,space,3.0995147999992696,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2023-11-12_14h50.14.853,untitled,2023.2.2,59.83087009637876,2023-11-12 14h50.28.915435 +0800,
8,test/rightstar.PNG,space,0,1,1,5,,,,,,,,,,,,,57.05837619999966,,,,,,,,,,,,,,,,56.9882963,57.05837619999966,57.50166470000022,57.50168539999959,58.0010484000004,58.52473410000039,58.28524899999957,58.285274500000014,59.603014399999665,59.603014399999665,60.417316299999584,61.269230300000345,right,1.6548915000003035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2023-11-12_14h50.14.853,untitled,2023.2.2,59.83087009637876,2023-11-12 14h50.28.915435 +0800,
2,test/leftstar.PNG,left,0,2,2,4,,,,,,,,,,,,,61.328665,,,,,,,,,,,,,,,,61.27018979999957,61.328665,61.785199799999646,61.785221199999796,62.28391569999985,62.69003619999967,62.5689124999999,62.56893839999975,63.88643789999969,63.88643789999969,,64.53830199999993,left,0.6451133000000482,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2023-11-12_14h50.14.853,untitled,2023.2.2,59.83087009637876,2023-11-12 14h50.28.915435 +0800,
9,test/rightstar.PNG,space,0,3,3,3,,,,,,,,,,,,,64.60287369999969,,,,,,,,,,,,,,,,64.53907319999962,64.60287369999969,65.05153080000036,65.05156069999975,65.55098480000015,65.9758068000001,65.83535109999957,65.83537849999993,67.15268430000015,67.15268430000015,67.96739369999977,69.71934859999965,space,2.552097099999628,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2023-11-12_14h50.14.853,untitled,2023.2.2,59.83087009637876,2023-11-12 14h50.28.915435 +0800,
1,test/leftstar.PNG,left,0,4,4,0,,,,,,,,,,,,,69.77483149999989,,,,,,,,,,,,,,,,69.72026040000037,69.77483149999989,70.2349221000004,70.23494449999998,70.73411390000001,71.1427775000002,71.01899419999972,71.01902719999998,72.33649700000024,72.33649700000024,,72.98627719999968,left,0.6369028999997681,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2023-11-12_14h50.14.853,untitled,2023.2.2,59.83087009637876,2023-11-12 14h50.28.915435 +0800,
8,test/rightstar.PNG,space,0,5,5,1,,,,,,,,,,,,,73.04575159999968,,,,,,,,,,,,,,,,72.98716739999963,73.04575159999968,73.5015586999998,73.50158180000017,74.00064899999961,74.41323560000001,74.28483159999996,74.28485619999992,75.60327839999991,75.60327839999991,76.4175994999996,78.10303680000015,space,2.4876266999999643,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2023-11-12_14h50.14.853,untitled,2023.2.2,59.83087009637876,2023-11-12 14h50.28.915435 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.10373410000011,78.11738630000036,78.11738630000036,89.13584790000004,space,11.003398200000447,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2023-11-12_14h50.14.853,untitled,2023.2.2,59.83087009637876,2023-11-12 14h50.28.915435 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.13590480000039,89.15068109999993,89.15068109999993,94.35288239999954,space,5.19648480000069,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2023-11-12_14h50.14.853,untitled,2023.2.2,59.83087009637876,2023-11-12 14h50.28.915435 +0800,
