stimuli,star,CorrectAns,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,routine_21.started,text_9.started,key_resp_8.started,routine_21.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,introduction.started,text_6.started,key_resp_5.started,introduction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,routine_14.started,image_6.started,routine_14.stopped,routine_16.started,text_4.started,text_4.stopped,routine_16.stopped,routine_17.started,image_7.started,key_resp_3.started,routine_17.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,image_7.stopped,routine_20.started,text_8.started,key_resp_7.started,routine_20.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_18.started,text_5.started,key_resp_4.started,routine_18.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,image_3.started,trial.stopped,routine.started,text_3.started,text_3.stopped,routine.stopped,routine_1.started,image_2.started,key_resp.started,routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,image_2.stopped,routine_22.started,text_10.started,key_resp_9.started,routine_22.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,routine_19.started,text_7.started,key_resp_6.started,routine_19.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,routine_23.started,image_8.started,routine_23.stopped,routine_24.started,text_11.started,text_11.stopped,routine_24.stopped,routine_25.started,image_9.started,key_resp_10.started,image_9.stopped,routine_25.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,routine_26.started,text_12.started,key_resp_11.started,text_12.stopped,routine_26.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_27.started,text_13.started,key_resp_12.started,text_13.stopped,routine_27.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,routine_10.started,image_4.started,routine_10.stopped,routine_11.started,text.started,text.stopped,routine_11.stopped,routine_12.started,image_5.started,key_resp_2.started,routine_12.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,image_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.003197099999852071,0.007077900000240334,0.007077900000240334,2.522410900000068,space,2.5099190999999337,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,001,2023-11-12_14h31.39.111,untitled,2023.2.2,59.94158093535291,2023-11-12 14h31.57.479065 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52246439999999,2.5376139999998486,2.5376139999998486,38.5725582,space,36.030241599999954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,001,2023-11-12_14h31.39.111,untitled,2023.2.2,59.94158093535291,2023-11-12 14h31.57.479065 +0800,
8,test/rightstar.PNG,space,0,0,0,5,,,,,,,,,,,,,38.76950100000022,,,,,,,,,,,,,,,,38.57958520000011,38.76950100000022,39.08813650000002,39.08815379999987,39.58788110000023,40.163446699999895,39.87201249999998,39.8720658000002,41.19303050000008,41.19303050000008,41.97346779999998,right,0.7775473000001512,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,001,2023-11-12_14h31.39.111,untitled,2023.2.2,59.94158093535291,2023-11-12 14h31.57.479065 +0800,
1,test/leftstar.PNG,left,0,1,1,0,,,,,,,,,,,,,42.033002600000145,,,,,,,,,,,,,,,,41.974949899999956,42.033002600000145,42.48819030000004,42.48821219999991,42.987394400000085,43.44475590000002,43.271680899999865,43.27170380000007,44.589974399999846,44.589974399999846,45.08964270000024,left,0.48281849999966653,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,001,2023-11-12_14h31.39.111,untitled,2023.2.2,59.94158093535291,2023-11-12 14h31.57.479065 +0800,
1,test/blank.PNG,space,0,2,2,2,,,,,,,,,,,,,45.147044899999855,,,,,,,,,,,,,,,,45.09054509999987,45.147044899999855,45.604827900000146,45.60485229999995,46.10438010000007,46.539975499999855,46.388811499999974,46.38884240000016,47.70533620000015,47.70533620000015,50.9891547000002,space,3.2743169999998827,None,48.50406520000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,001,2023-11-12_14h31.39.111,untitled,2023.2.2,59.94158093535291,2023-11-12 14h31.57.479065 +0800,
2,test/leftstar.PNG,left,0,3,3,4,,,,,,,,,,,,,51.05616379999992,,,,,,,,,,,,,,,,50.9900461000002,51.05616379999992,51.504960799999935,51.50498419999985,52.004122499999994,52.42359029999989,52.2884253000002,52.288450099999864,53.60621530000026,53.60621530000026,54.17312380000021,left,0.5555248999999094,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,001,2023-11-12_14h31.39.111,untitled,2023.2.2,59.94158093535291,2023-11-12 14h31.57.479065 +0800,
8,test/rightstar.PNG,space,0,4,4,1,,,,,,,,,,,,,54.23191910000014,,,,,,,,,,,,,,,,54.174042499999814,54.23191910000014,54.688324400000056,54.68836659999988,55.187353599999824,55.59317069999997,55.471936800000094,55.471962000000076,56.78945470000008,56.78945470000008,57.30617690000008,right,0.5105296999995517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,001,2023-11-12_14h31.39.111,untitled,2023.2.2,59.94158093535291,2023-11-12 14h31.57.479065 +0800,
9,test/rightstar.PNG,space,0,5,5,3,,,,,,,,,,,,,57.36481630000026,,,,,,,,,,,,,,,,57.30712810000023,57.36481630000026,57.82163840000021,57.82166159999997,58.32092999999986,58.734953900000164,58.605432400000154,58.60546109999996,59.92274760000009,59.92274760000009,60.406629200000225,right,0.46638130000019373,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,001,2023-11-12_14h31.39.111,untitled,2023.2.2,59.94158093535291,2023-11-12 14h31.57.479065 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.407330699999875,60.42080010000018,60.42080010000018,65.95674439999993,space,5.522308200000225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,001,2023-11-12_14h31.39.111,untitled,2023.2.2,59.94158093535291,2023-11-12 14h31.57.479065 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.9568878,65.97086160000026,65.97086160000026,67.2556367000002,space,1.2734426000001804,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,001,2023-11-12_14h31.39.111,untitled,2023.2.2,59.94158093535291,2023-11-12 14h31.57.479065 +0800,
