stimuli,star,CorrectAns,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,routine_21.started,text_9.started,key_resp_8.started,routine_21.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,introduction.started,text_6.started,key_resp_5.started,introduction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,routine_14.started,image_6.started,routine_14.stopped,routine_16.started,text_4.started,text_4.stopped,routine_16.stopped,routine_17.started,image_7.started,key_resp_3.started,image_7.stopped,routine_17.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,routine_20.started,text_8.started,key_resp_7.started,routine_20.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_18.started,text_5.started,key_resp_4.started,routine_18.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,image_3.started,trial.stopped,routine.started,text_3.started,text_3.stopped,routine.stopped,routine_1.started,image_2.started,key_resp.started,image_2.stopped,routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_22.started,text_10.started,key_resp_9.started,routine_22.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,routine_19.started,text_7.started,key_resp_6.started,routine_19.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,routine_23.started,image_8.started,routine_23.stopped,routine_24.started,text_11.started,text_11.stopped,routine_24.stopped,routine_25.started,image_9.started,key_resp_10.started,image_9.stopped,routine_25.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,routine_26.started,text_12.started,key_resp_11.started,text_12.stopped,routine_26.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_27.started,text_13.started,key_resp_12.started,text_13.stopped,routine_27.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,routine_10.started,image_4.started,routine_10.stopped,routine_11.started,text.started,text.stopped,routine_11.stopped,routine_12.started,image_5.started,key_resp_2.started,routine_12.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,image_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.005839019965378611,0.020096288393006034,0.020096288393006034,3.5526739213978544,space,3.525076717324737,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-09_18h05.23.696,untitled,2023.2.2,59.96668444462856,2023-11-09 18h05.54.516793 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5526985598808096,3.569199733063215,3.569199733063215,22.83766815388958,space,19.2544749644469,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-09_18h05.23.696,untitled,2023.2.2,59.96668444462856,2023-11-09 18h05.54.516793 +0800,
8,test/rightstar.PNG,space,0,0,0,5,,,,,,,,,,,,,22.987816871171162,,,,,,,,,,,,,,,,22.862849284297226,22.987816871171162,23.352207112288852,23.35222303716182,23.852135450360038,24.365319592671767,24.136459035367352,24.136483373380997,25.46403036903348,25.46403036903348,26.268579293999437,26.353243731384055,right,0.8876755604578648,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-09_18h05.23.696,untitled,2023.2.2,59.96668444462856,2023-11-09 18h05.54.516793 +0800,
1,test/leftstar.PNG,left,0,1,1,0,,,,,,,,,,,,,26.453998900883334,,,,,,,,,,,,,,,,26.355446171375206,26.453998900883334,26.868827722018978,26.868843045953554,27.36883057647742,27.87207068720636,27.652707664100717,27.652719382403347,28.973412973723725,28.973412973723725,29.785317086757914,29.869544341306664,left,0.8826060423775743,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-09_18h05.23.696,untitled,2023.2.2,59.96668444462856,2023-11-09 18h05.54.516793 +0800,
9,test/rightstar.PNG,space,0,2,2,3,,,,,,,,,,,,,29.967569146249616,,,,,,,,,,,,,,,,29.870022988906385,29.967569146249616,30.385525852829687,30.385541176764036,30.868883909778788,31.39155567080229,31.153275701317853,31.153304546371146,32.47345729294602,32.47345729294602,33.285490006841655,39.52075777156347,space,7.03070886417504,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-09_18h05.23.696,untitled,2023.2.2,59.96668444462856,2023-11-09 18h05.54.516793 +0800,
1,test/blank.PNG,space,0,3,3,2,,,,,,,,,,,,,39.634721872092086,,,,,,,,,,,,,,,,39.521848174664,39.634721872092086,40.03544906789921,40.035462889487235,40.5354831711652,40.935813747492375,40.81960874690185,40.819630681161016,42.135751129689424,42.135751129689424,,42.619515421136384,left,0.4723674907838813,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-09_18h05.23.696,untitled,2023.2.2,59.96668444462856,2023-11-09 18h05.54.516793 +0800,
2,test/leftstar.PNG,left,0,4,4,4,,,,,,,,,,,,,42.71940133294197,,,,,,,,,,,,,,,,42.61996552415235,42.71940133294197,43.13558617204217,43.135606003016164,43.618818031884075,44.114110429079346,43.90271465001183,43.902726668784,45.223652522875454,45.223652522875454,,45.95423371764355,left,0.7200761869964936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-09_18h05.23.696,untitled,2023.2.2,59.96668444462856,2023-11-09 18h05.54.516793 +0800,
8,test/rightstar.PNG,space,0,5,5,1,,,,,,,,,,,,,46.067368522896004,,,,,,,,,,,,,,,,45.955344252187615,46.067368522896004,46.468932225242725,46.4689613707651,46.96874217840855,47.47317725555558,47.252901106237914,47.25292274002777,48.5739741902878,48.5739741902878,,49.10454589022606,right,0.5224211696247494,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-09_18h05.23.696,untitled,2023.2.2,59.96668444462856,2023-11-09 18h05.54.516793 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.10535295077398,49.118570294943765,49.118570294943765,84.82006365742654,space,35.69003015810404,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-09_18h05.23.696,untitled,2023.2.2,59.96668444462856,2023-11-09 18h05.54.516793 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.82011083110706,84.83547863407853,84.83547863407853,97.03667948969496,space,12.19756667939646,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-09_18h05.23.696,untitled,2023.2.2,59.96668444462856,2023-11-09 18h05.54.516793 +0800,
