stimuli,star,CorrectAns,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,routine_21.started,text_9.started,key_resp_8.started,routine_21.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,introduction.started,text_6.started,key_resp_5.started,introduction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,routine_14.started,image_6.started,routine_14.stopped,routine_16.started,text_4.started,text_4.stopped,routine_16.stopped,routine_17.started,image_7.started,key_resp_3.started,image_7.stopped,routine_17.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,routine_20.started,text_8.started,key_resp_7.started,routine_20.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_18.started,text_5.started,key_resp_4.started,routine_18.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,image_3.started,trial.stopped,routine.started,text_3.started,text_3.stopped,routine.stopped,routine_1.started,image_2.started,key_resp.started,image_2.stopped,routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_22.started,text_10.started,key_resp_9.started,routine_22.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,routine_19.started,text_7.started,key_resp_6.started,routine_19.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,routine_23.started,image_8.started,routine_23.stopped,routine_24.started,text_11.started,text_11.stopped,routine_24.stopped,routine_25.started,image_9.started,key_resp_10.started,routine_25.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,image_9.stopped,routine_26.started,text_12.started,key_resp_11.started,text_12.stopped,routine_26.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_27.started,text_13.started,key_resp_12.started,text_13.stopped,routine_27.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,routine_10.started,image_4.started,routine_10.stopped,routine_11.started,text.started,text.stopped,routine_11.stopped,routine_12.started,image_5.started,key_resp_2.started,routine_12.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,image_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.005595649917836454,0.018814820735201465,0.018814820735201465,7.253906934273118,space,7.230970869148109,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-09_17h57.35.914,untitled,2023.2.2,60.068422809995745,2023-11-09 17h57.44.814980 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.253952605689619,7.2692423142067355,7.2692423142067355,82.56992549249264,space,75.2998343509746,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-09_17h57.35.914,untitled,2023.2.2,60.068422809995745,2023-11-09 17h57.44.814980 +0800,
1,test/blank.PNG,space,0,0,0,2,,,,,,,,,,,,,82.69253882295754,,,,,,,,,,,,,,,,82.5760860257185,82.69253882295754,83.08566695742138,83.08568198091359,83.5691100173342,83.94656804845738,83.85338964538857,83.85341458438563,85.16924354613309,85.16924354613309,85.96947076142965,90.98713838829781,space,5.814856190625278,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-09_17h57.35.914,untitled,2023.2.2,60.068422809995745,2023-11-09 17h57.44.814980 +0800,
8,test/leftstar.PNG,left,0,1,1,5,,,,,,,,,,,,,91.09732548786542,,,,,,,,,,,,,,,,90.98828167605689,91.09732548786542,91.50246400296146,91.50247782457438,92.00242809681504,92.52696822020596,92.28671643849498,92.28674137749204,93.61099821791345,93.61099821791345,94.418898531634,98.95369849834196,left,5.326352317118335,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-09_17h57.35.914,untitled,2023.2.2,60.068422809995745,2023-11-09 17h57.44.814980 +0800,
9,test/rightstar.PNG,right,0,2,2,3,,,,,,,,,,,,,99.05385471261411,,,,,,,,,,,,,,,,98.95422672432892,99.05385471261411,99.4691830615534,99.46919868598536,99.96907684546329,100.47810130701384,100.2532311775924,100.253253412361,101.57194254656008,101.57194254656008,102.3857287640684,103.35323144801532,right,1.764628749976282,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-09_17h57.35.914,untitled,2023.2.2,60.068422809995745,2023-11-09 17h57.44.814980 +0800,
2,test/leftstar.PNG,space,0,3,3,4,,,,,,,,,,,,,103.45727814583665,,,,,,,,,,,,,,,,103.35362356116264,103.45727814583665,103.86880945734856,103.86881997379305,104.35272545679686,104.85821759485316,104.63693297208852,104.63696091578402,105.95636727150247,105.95636727150247,106.76899998527699,107.92029376335779,space,1.9477164442038202,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-09_17h57.35.914,untitled,2023.2.2,60.068422809995745,2023-11-09 17h57.44.814980 +0800,
1,test/leftstar.PNG,space,0,4,4,0,,,,,,,,,,,,,108.02837847542207,,,,,,,,,,,,,,,,107.9209779331942,108.02837847542207,108.43573025139415,108.4357437725372,108.93593892770127,109.4317424156153,109.21949562530938,109.21950704316339,110.54005217959332,110.54005217959332,111.35226213229635,122.05355844934729,space,11.500047324000548,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-09_17h57.35.914,untitled,2023.2.2,60.068422809995745,2023-11-09 17h57.44.814980 +0800,
8,test/rightstar.PNG,right,0,5,5,1,,,,,,,,,,,,,122.17433440671186,,,,,,,,,,,,,,,,122.05426335160291,122.17433440671186,122.56918603620488,122.56920015828757,123.06911317226752,123.56437521352143,123.35288110017643,123.35289251803044,124.67359359830971,124.67359359830971,125.48555446151147,126.11975586224185,right,1.4311712224405255,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-09_17h57.35.914,untitled,2023.2.2,60.068422809995745,2023-11-09 17h57.44.814980 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.12005452926746,126.1356990926713,126.1356990926713,144.90368919880018,space,18.753040529475925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-09_17h57.35.914,untitled,2023.2.2,60.068422809995745,2023-11-09 17h57.44.814980 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.9037333678674,144.9189804096667,144.9189804096667,169.53723918090725,space,24.60159801882196,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-09_17h57.35.914,untitled,2023.2.2,60.068422809995745,2023-11-09 17h57.44.814980 +0800,
