stimuli,star,CorrectAns,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,routine_21.started,text_9.started,key_resp_8.started,routine_21.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,introduction.started,text_6.started,key_resp_5.started,introduction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,routine_14.started,image_6.started,routine_14.stopped,routine_16.started,text_4.started,text_4.stopped,routine_16.stopped,routine_17.started,image_7.started,key_resp_3.started,image_7.stopped,routine_17.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,routine_20.started,text_8.started,key_resp_7.started,routine_20.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_18.started,text_5.started,key_resp_4.started,routine_18.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,image_3.started,trial.stopped,routine.started,text_3.started,text_3.stopped,routine.stopped,routine_1.started,image_2.started,key_resp.started,routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,image_2.stopped,routine_22.started,text_10.started,key_resp_9.started,routine_22.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,routine_19.started,text_7.started,key_resp_6.started,routine_19.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,routine_23.started,image_8.started,routine_23.stopped,routine_24.started,text_11.started,text_11.stopped,routine_24.stopped,routine_25.started,image_9.started,key_resp_10.started,image_9.stopped,routine_25.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,routine_26.started,text_12.started,key_resp_11.started,text_12.stopped,routine_26.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_27.started,text_13.started,key_resp_12.started,text_13.stopped,routine_27.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,routine_10.started,image_4.started,routine_10.stopped,routine_11.started,text.started,text.stopped,routine_11.stopped,routine_12.started,image_5.started,key_resp_2.started,routine_12.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,image_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.005166879449461703,0.024288479896085846,0.024288479896085846,11.977624611605279,space,11.946583372419354,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-09_18h13.39.526,untitled,2023.2.2,59.88414063626685,2023-11-09 18h13.49.326601 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.977678996647,11.992486451063542,11.992486451063542,66.37813949673114,space,54.3690812323232,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-09_18h13.39.526,untitled,2023.2.2,59.88414063626685,2023-11-09 18h13.49.326601 +0800,
2,test/leftstar.PNG,space,0,0,0,4,,,,,,,,,,,,,66.52810489762851,,,,,,,,,,,,,,,,66.39321647259817,66.52810489762851,66.89306218133288,66.89308141140305,67.39337001268882,67.90612540830102,67.67784765037095,67.6778855095713,69.00498960224104,69.00498960224104,69.8093545877689,76.3108618947449,space,7.302321940818956,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-09_18h13.39.526,untitled,2023.2.2,59.88414063626685,2023-11-09 18h13.49.326601 +0800,
8,test/rightstar.PNG,right,0,1,1,1,,,,,,,,,,,,,76.41271456176037,,,,,,,,,,,,,,,,76.31138651509377,76.41271456176037,76.82627134049517,76.82628696492702,77.32660080567985,77.83388614776936,77.6108398703052,77.61087202057865,78.9297904132693,78.9297904132693,79.74278248897804,88.77780855924402,left,9.840758794526892,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-09_18h13.39.526,untitled,2023.2.2,59.88414063626685,2023-11-09 18h13.49.326601 +0800,
1,test/leftstar.PNG,space,0,2,2,0,,,,,,,,,,,,,88.91078900076059,,,,,,,,,,,,,,,,88.77866459783172,88.91078900076059,89.29280876506596,89.29282078385972,89.79339152632974,90.30004437939601,90.07699810193208,90.07701913482106,91.39785783028924,91.39785783028924,92.20969760414368,98.5782458029621,space,7.163977812104804,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-09_18h13.39.526,untitled,2023.2.2,59.88414063626685,2023-11-09 18h13.49.326601 +0800,
1,test/blank.PNG,space,0,3,3,2,,,,,,,,,,,,,98.68826043283889,,,,,,,,,,,,,,,,98.57924065861789,98.68826043283889,99.09296506947908,99.09297738874284,99.59329333278447,99.98602544799314,99.87757055708016,99.87760030359482,101.19308793159871,101.19308793159871,101.99298523100583,107.17754282371357,space,5.976396290880075,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-09_18h13.39.526,untitled,2023.2.2,59.88414063626685,2023-11-09 18h13.49.326601 +0800,
9,test/rightstar.PNG,right,0,4,4,3,,,,,,,,,,,,,107.2812019154353,,,,,,,,,,,,,,,,107.17820836441956,107.2812019154353,107.69304872028397,107.69306524612534,108.19325439189265,108.707177713791,108.4775881045191,108.47761755056376,109.79929545830828,109.79929545830828,110.60959021622125,111.44423174517988,right,1.6423558518456502,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-09_18h13.39.526,untitled,2023.2.2,59.88414063626685,2023-11-09 18h13.49.326601 +0800,
8,test/leftstar.PNG,left,0,5,5,5,,,,,,,,,,,,,111.5492723972477,,,,,,,,,,,,,,,,111.44491891971484,111.5492723972477,111.95973433658219,111.95975236477284,112.46013140748187,112.96742335990803,112.74449456615321,112.74453482911235,114.06405295961304,114.06405295961304,114.87662407706944,115.02787789266085,left,0.954987213505774,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-09_18h13.39.526,untitled,2023.2.2,59.88414063626685,2023-11-09 18h13.49.326601 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0284845412773,115.04287344120007,115.04287344120007,157.37794328992254,space,42.31881352871483,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-09_18h13.39.526,untitled,2023.2.2,59.88414063626685,2023-11-09 18h13.49.326601 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.3779949707357,157.39331021918974,157.39331021918974,166.89450894363517,space,9.488592512111154,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-09_18h13.39.526,untitled,2023.2.2,59.88414063626685,2023-11-09 18h13.49.326601 +0800,
